,Unnamed: 0,id,video id,author,author id,text,label,annotator notes
31,31,UgwpzVoFqlpsOr6OJNZ4AaABAg.9xgpU7xiKkL9xh3i1SxBq6,_FtRud1ZGu0,@yntks6436,,At least he's telling the truth,irrelevant,
32,32,UgyCMQgY8EYFrz8Gaxh4AaABAg,_FtRud1ZGu0,@user-fq7ux9ck3z,UCoQtD_2A39V0xnW8XPgTDEw,"The Ten Commandments was born from the Old Testament. Then Jesus Christ came as the messiah to fulfill the prophecy, however, there will be a false messiah that will come by. So Christianity was born and so Islam. The Christians believe that Jesus Christ was the Son of God. Muslims also believe in Jesus Christ but they think He is one of the prophets. However, He can heal people and was risen from the dead and went to heaven. That the difference. He was taken by God and is still alive. Where the other prophets died and went to heaven Moses and other ones.",irrelevant,
33,33,Ugw3zon5INviMOT3afV4AaABAg,_FtRud1ZGu0,@jfalk35,UCIUO_esRJsYgtY6y6puWHTw,"Apparently, this guy never read the old Testament.",irrelevant,
34,34,Ugw22lCQquakkk-Y7hh4AaABAg,_FtRud1ZGu0,@haydenharris3059,UCISVrhh610zp_eQtjPCA_vg,What is God except a sounding board chant.,irrelevant,
35,35,UgxBiPOB9onH-8Bsqg54AaABAg,_FtRud1ZGu0,@toyeprice470,UC0pXn0hquSd-iZ4MFAY1hXQ,In the last days there will be False prophets and evil preaching different then what is in the Bible!,irrelevant,
36,36,UgwiDXKg0EOTNr-OleR4AaABAg,_FtRud1ZGu0,@johnkennedy4023,UC18JAZLNJ_Yj7C-GsL27VQQ,"Unless they bless Israel, Palestine will be forgotten",Pro-Israel,
37,37,Ugz1vW4Whd7X3nbAGm54AaABAg.9xgfFeh13Cp9xglLKGu3jh,_FtRud1ZGu0,@fabianocapet7785,,"IstandwithIsrael- yeah, if it was 1623 instead of 2023 you would have asked me to explain why storms and earthquakes happen if it's not for god's wrath. Being unable to explain something doesn't mean the answer is god. Poor logic.",irrelevant,
38,38,UgyohJOEVJ0zCTJ3V_94AaABAg,_FtRud1ZGu0,@zozial6588,UCAAcIFP0fcxI3m5OnFfJpVQ,Then he choose islam no not way don't pick only one read all and u will be more educated God love u I am christian,irrelevant,
39,39,Ugyz9D4wPLtI7TEByu94AaABAg,_FtRud1ZGu0,@mjk958,UCywVAbPI1_cOVPiU2zKrhng,They will forge new stories to justify their genocide in Palestine.,Pro-Palestine,
40,40,Ugw91JKWDmUHYUiTPsB4AaABAg.9yTK55M_wRH9yWsT2si5-A,_FtRud1ZGu0,@AinakTheReal,,dianiaturner7579 what means nothing? you just said bible was before Islam and I proved you wrong.,irrelevant,
41,41,Ugz-31eyNisyxlcf-tF4AaABAg,_FtRud1ZGu0,@eternal-peace998,UCdRER7CdrghpRlWeFlYrfiQ,"Why should Muslims leave Islam and convert to Judaism?

Islam is the second largest religion in the world after Christianity. It is estimated that there are more than 1.8 billion Muslims, which accounts for about 24 percent of the global population.

There are more than 57 Islamic countries, most of which have populations that are 95-100 percent Muslim. However, it is not possible to determine the exact number of actual followers of Islam in these countries due to laws that impose severe penalties, including capital punishment, for leaving the religion.

The worldwide Jewish population is 15.2 million, which is just 0.2 percent of the world's population of 8 billion. Israel has the largest number of Jews, with approximately 6,983,000 individuals. Additionally, there are approximately 6 million Jews in America. Jewish people have made significant contributions to various fields such as science, medicine, engineering, business, technology, finance, defense, philosophy, education, art, media, economics, and more. Their contributions have had a positive impact on the world. The Jews are driving the world forward.
It can be seen that a small number of 1.52 crore Jews contribute many times more to the world than 180 crore Muslims.

It's good for Muslims to accept Judaism",irrelevant,
42,42,UgwCnLZJuAXw1UJFiht4AaABAg,_FtRud1ZGu0,@ToniSabic98,UCAKqWPYNn37DNgXJD1XRe8A,Bro read the Bible ,irrelevant,
43,43,UgzZUkBwuBdsLxZd6mp4AaABAg,_FtRud1ZGu0,@jaiscorpion1,UCMUTL6KwGxCF_TxfcP6Ezpw,You don't have any knowledge..,irrelevant,
44,44,UgwltwnCs9Pm-oC5fbh4AaABAg.9xeg4SxjW2B9yzrVMaYo4s,_FtRud1ZGu0,@jonjonboi3701,,Nah Jews are the chosen ones,irrelevant,
45,45,UgwNH1aUoZ4HEuc2MHF4AaABAg,_FtRud1ZGu0,@muhammadsohaib7302,UCJ5CMgWzLEeOJoNzs_8AJeg,"Yes of course. They're not chosen ones. Chosen ones are those who believe in One God. And Islam is the only monotheistic religion that is present in its true shape. So actually this land belongs to Palestinians, who gave Jews shelter, while their massacre was occuring across Europe. And now these Jews are illicitly expelling Palestinians from their homes and massacring them. So every believer should stand against this.

The things that are occuring now are already mentioned in Quran in Surah Al Israh Verse 3 to 8 about fate and future of children of Israel.",Pro-Palestine,
46,46,Ugz1U3DtbqMeHy2boeJ4AaABAg.9yYxPfS__5g9ynjtdTtJam,_FtRud1ZGu0,@imwatchingyoutubevideos,,"Really cool story, bro. Care to tell us where israel was for the last 2000 years pre 1948?",Pro-Palestine,
47,47,Ugz-sp8trBCt3fLEkHd4AaABAg,_FtRud1ZGu0,@shakkedlub,UCozyjhikRjfEORki-ZC-hNg,As a jew i know you are just julas of us being chosen by god,irrelevant,
48,48,UgyO0yc-mHDJ36OzAlt4AaABAg,_FtRud1ZGu0,@TLB...,UCuNlsQTKsQDzK19D0_LuOLw,Another one  with all the history and evidence... Jesus was a Jew... Omg what world are we livin in... These last days...,irrelevant,
49,49,UgxhMM0Yb1QN7Y5NfuN4AaABAg,_FtRud1ZGu0,@straightforward750,UCEjmUuaH4N6mcZAHxvSRkOw,"From the facts stated here, a Muslim must inevitably explain the following facts.


(1) If the Qur'an is a divine revelation that has existed since eternity, then the obviously human traces in it must be missing.

2. large parts of the Qur'an are filled with the personal and political affairs of a man or a nation at a particular point in history. But God is eternal and not just a god for a short epoch! So how does something like this get into this book that is valid for all time?

3. the authentication of a revelation by only one witness is, strictly speaking, unacceptable. Where are the neutral witnesses for the sending down of this divine scripture? Even the Book of Mormon refers to witnesses!6

4 Where two books (the Bible and the Qur'an) claim to be definitive, unique, complete and universal in their message and yet strongly contradict each other in their teachings, only verifiable, objective evidence, proof or evidence can make clear which of the two is divinely inspired. The Bible has partial proof in the Tanakh, which largely agrees with the Old Testament. Where is such evidence for the Qur'an, which is even older than the Qur'an itself?

5 The distinctive and vowel signs of the Arabic language were only introduced when the Qur'an was already widely used. However, such signs can significantly change the meaning of words. When these signs were introduced, there were heated discussions about many such meanings. Why did God not introduce these signs at the time of the creation of the Qur'an in order to write this book clearly?

6. it is proven that the Qur'an in its present form was only created after the death of Muhammad, under the caliph Uthman ibn Affan (    ). Zaid ibn Thabit ibn ad-Dahhak al-Ansari (       ) was commissioned to compile and write down the Qur'an. This edition is known as Mishkat al-Masabih (   ). Why are the other writers less trustworthy? They would be witnesses for the correctness of the Qur'an. Instead, Uthman ordered the destruction of all manuscripts other than his revised text. These included the four versions of the Hijazi, Kufic, Basran and Syriac texts. This situation makes my stomach ache when I examine this book!

7 According to most Islamic scholars, the Qur'an cannot be interpreted without the tradition (Ahadith) of its prophet Muhammad, whose life is regarded as the interpretation of the Qur'an. However, the ahadith do not give us a complete and accurate picture of Muhammad. In addition, these traditions were only collected and recorded three centuries later. Their selection, which makes up only 7 percent of all traditions, was again only witnessed by a single person.
They are also not documented by several witnesses!

It therefore remains to be said that the Qur'an cannot really be regarded as an eternal book, as there are far too many ambiguities in its tradition and interpretation.

The Koran is simply a holy book, which only became what it is today through Islam!",irrelevant,
50,50,UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wTOnEduJP-,aEJNEOt3CZs,@Modi1245,,What are you trying to fucking achieve here bro these jews themselves dont support isreal and say its an occupying force. Why are you bots say nothing but 7th of October hamas did this hamas did that but never mention why they did this and why are Palestinian people still dying in the west bank 7k died for last 15 years only and thanks to isreal they killed all of those in 2 weeeks in gaza,Pro-Palestine,
51,51,Ugxc5Cq8P4lQ808o2pp4AaABAg.9wRHz0VB8kV9wRJAfmTmNB,aEJNEOt3CZs,@narhaq3438,, you live under a rock? Go read a history book. The Jews and Muslims worship the same God. Zionist worship the devil.,irrelevant,
52,52,UgxM1qHIlsJJGMjJTsp4AaABAg,aEJNEOt3CZs,@user-ot7cr5jt5e,UCDOjRQyzOJHUjyrLvdofgBQ,People with morals and values.,Neutral,
53,53,UgyHo1r8jzWCc00Y_AN4AaABAg,aEJNEOt3CZs,@mkpirrone,UC8n8rsCjEoUcb3C1IgUy6kg,Morons!,irrelevant,
54,54,UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wUzubrXYxh,aEJNEOt3CZs,@echoe4806,,creativesafiThere is lots of Hamas fighters in WestBank.There are clashes and crossfires.You live on a different planet.,irrelevant,
55,55,UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wRIU51n_H7,aEJNEOt3CZs,@virtualAviator159,,"Please don't believe everything you hear in the Western media. There is so many lies, it's crazy. Anyone says the word Israel, omg you're anti Semite
There is a genocide going on.
They have no electricity, no water, no food doing in. How can this even be allowed?",Pro-Palestine,
56,56,Ugx0HQyOdrzidVyVakJ4AaABAg,aEJNEOt3CZs,@danianuka6803,UCNK32t70f0ZBiLqAHCN4Quw,He can go to gaza to fight,irrelevant,
57,57,UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wRJW-M4mJ4,aEJNEOt3CZs,@narhaq3438,,Please go do some research and read the Amnesty report on who actually uses human shields. Also see the videos from the released hostages on how many of the other hostages died. Terrorism Hamas Bibi all are terrorists !,Neutral,
58,58,UgwfRN7b6Mc85gsws6N4AaABAg.9wRQEzCJG0t9wUzle4PP9w,aEJNEOt3CZs,@echoe4806,,Delusional Jews,irrelevant,
59,59,UgyZGRsaljM-oc7-LUF4AaABAg,aEJNEOt3CZs,@MicDreamsMusic,UCc8JjR3FxiQyg1chW1Xy8rg,Absolutely beautiful gave me goosebumps,irrelevant,
60,60,UgxjY9EZklex6OVT81V4AaABAg,aEJNEOt3CZs,@haveanopinion,UCYGUPCdVsAqsRs0PaQCGlmg,So these jews support the hostage taking of jewish children.,Pro-Palestine,
61,61,UgytRiufE3RevekQvXt4AaABAg,aEJNEOt3CZs,@artmirage7576,UCT0r2cFeUU1zgZLJmQKpxEQ,wow God bless them ameb,irrelevant,
62,62,Ugz_DGt240DCLCnBfHd4AaABAg,aEJNEOt3CZs,@sadiashafiq7910,UC-GgmliggddEPRNfxbieWvw,Free Palestine,Pro-Palestine,
63,63,UgzyP4wy6YWW-zIS5Wd4AaABAg.9wpgLZeNe7T9xIx9X7GYsv,aEJNEOt3CZs,@ashauthay2347,,"My respect to these people!!
",Neutral,
64,64,UgypSzCyHMe-DUXTFWF4AaABAg,aEJNEOt3CZs,@blazenamber9176,UCvx7h-WJjLmRfbYYeIuwnbg,"They can all go pound sand
 Canadians do not side with terrorists.",Pro-Palestine,
65,65,UgxjUvVobgCzMpHnfbp4AaABAg,aEJNEOt3CZs,@zakirhusin5740,UChpo539R67Rag-108_f3CxA,"Free PALESTINE 

Support from India ",Pro-Palestine,
66,66,UgyTAxtYvNrTdka965F4AaABAg.9wqFPCrnXgL9xGLfsFRyJs,aEJNEOt3CZs,@mikegery2990,,joshwatson9725lier . Your act by killing and steal lands made others against you .,,
67,67,UgyVwakEx-linhbfi154AaABAg.9x1bJ_triPu9xUNBZZnFLX,aEJNEOt3CZs,@nithin6654,,thatguala do you know about kashmiri hindu genocide done by Muslim,irrelevant,
68,68,UgyznLzGCrVYkrSJfkN4AaABAg.9xb0RP6O6qK9xczYFtwSWs,aEJNEOt3CZs,@creativesafi,,"The benefit they are doing this is in Torah my friend. 'Thou shalt not kill', Exod. 2013 and in Deut. 517. They are true to their believe unlike zionists.",irrelevant,
69,69,UgwE2udX9_EX2DMnOrh4AaABAg.9x5Zqud0Ojg9x5rnCsFMzQ,aEJNEOt3CZs,@creativesafi,,"They have taken time out from their busy lives because they know this genocide is not self defence but pure hatred. They stand in support of stopping this hatred of purposly killing civilians because they know when they die, they will be questioned about what they did to stop the wrong. The purpose of their life is not to just make money.  Why is it not sickening for you to see an entire ethenic group of people that are oppressed are now being killed? Why cant you see human lives as human lives? You are supporting to justify the illigal genocide so much so that you call a poor people whose land and homes are seized and are called 'animals' and litrally treat them lower than animals. Jews went through the same at Holocast at which time the people supported jews humans first, not Christians or Muslims.",Pro-Palestine,
70,70,UgwHqrW0mzk6xRMr91Z4AaABAg.9x3iffc1Uox9xnBly81PSD,aEJNEOt3CZs,@RogerLewis-ey2tt,,No. They are AGAINST the IDF wolves,irrelevant,
71,71,Ugyp2ecIyt-0mIe4KcN4AaABAg,aEJNEOt3CZs,@libafried5840,UC9ztXo3wgb6AElXbXJqTocg,"They live in a world of illusion. They are hated just as much as the ""Zionists"" despite the comments here about ""loving the real world"". They should live in Gaza with their beloved Falestinians and let's see how it goes...",Pro-Israel,
72,72,Ugzq-vcxE50lTygRzSd4AaABAg,aEJNEOt3CZs,@sea302,UCmzmyiMnvRfre41zVYdtXOw,Which part of Palestine do you want free? Which part of Palestine is occupied?,Neutral,
73,73,UgxqlZW8TYbDmQwa3rd4AaABAg.9wtWUjDyTcH9xmutTWeNWX,aEJNEOt3CZs,@justjim4933,,waspwrap1235 pew reseach center 8 of 10 us jews say caring about isreal is an essential part of what being jewish means,irrelevant,
74,74,UgysXzfL0zf2OARj-Vt4AaABAg,aEJNEOt3CZs,@1978TAR,UCta8xu01JVTkUIgjfuh2aGw, LOVE THE REAL JEWS,irrelevant,
75,75,UgxrehLkULkEsVhiPAZ4AaABAg,aEJNEOt3CZs,@maureenbowdich664,UCmRNEIBoLsM-b3h9FZxvyBw,Are these people insane.Hamas will not put down their guns.You should concentrate your efforts on asking hamas to lay down their guns but YOU IDIOTS KNOW THIS IS NOT GOING TO HAPPEN.,Pro-Israel,
76,76,Ugy1SbqlQC-7R1er7Bh4AaABAg,aEJNEOt3CZs,@LisaYuen-qk4qx,UCNE4pU2hi7SrgIq-Z61v2Qg,No B,irrelevant,
77,77,UgwqbhGY9vDd-6RwAhp4AaABAg,aEJNEOt3CZs,@surferdan1527,UCXuygc-CeavY20s1b6SZHFA,Real Jews....Real Jews are fighting for Israels safety and future. Go there and see the truth...shame on you,Pro-Israel,
78,78,Ugy4nJ_IU09HqlQpGFZ4AaABAg.9xhPgYYPZl89y7f3MEEkk1,aEJNEOt3CZs,@laztavus,,you mean the ones that aren in Israel,irrelevant,
79,79,UgyMIHAo23Thdcfsg554AaABAg.9x3IPVTAy4z9xnBdCbKhfa,aEJNEOt3CZs,@RogerLewis-ey2tt,,Israel has turned Gaza into an abbatoir.  Maybe Palestinian flesh for kosher burgers?,Pro-Palestine,
80,80,UgwbgjIZtswlntIK9AR4AaABAg,cunHHuxxkvk,@user-in3du9bp4b,UC9wLzQSrOU0-3phmNTn3wMg,Jay shree ram,irrelevant,
81,81,UgyWd2a2XHUZThtaK8F4AaABAg.9yORTCGDsGm9yjUXL6vZBr,cunHHuxxkvk,@nakano-ariko,,Ram military ,irrelevant,
82,82,UgzhK4fQnALrItN6l-h4AaABAg,cunHHuxxkvk,@k0th0maunofficial,UC9wLzQSrOU0-3phmNTn3wMg,I hate Ronaldo now ,irrelevant,
83,83,UgzVCSJqqpw1HPAYFKd4AaABAg,cunHHuxxkvk,@Mohammad-mr7ue,UCoeoD09CSNE2UoZGa2vHsYg,Real hero ronaldo,irrelevant,
84,84,UgywkZjhWjWqX8ovnNN4AaABAg,cunHHuxxkvk,@THE-VOID-WORLD,UCpAoqFmwprTEhM0Hbc97XUQ,Reason is Qatar,irrelevant,
85,85,UgzF5eCqus6TkhyHHYt4AaABAg,cunHHuxxkvk,@Prezlerplayz,UCd-PFINxqWioL4LHrBOdDPA,of course i like Ronaldo and little bit Messi cause he is israel,Pro-Israel,
86,86,UgxRg-BDOJfrO-T24NN4AaABAg.9yDSJIl1UWE9yDkS0k4d-9,cunHHuxxkvk,@indiaball9406,,His nail worth more than your family bloodline,irrelevant,
87,87,UgzjqviEP8QhBcg2paV4AaABAg,cunHHuxxkvk,@pvgame4767,UCSuV8IpzpbsOWo1o8_W0hGg,Noo Sunil chatri,irrelevant,
88,88,UgwO1VPJ-sNKZSNDpyF4AaABAg,cunHHuxxkvk,@pushkartripathi431,UCZwNdL1bv1AxJYUwOjjdhlw,Jai shree ram,irrelevant,
89,89,UgzSZ7o9Xjq76kERdvJ4AaABAg,cunHHuxxkvk,@Ranveersahu-de7qn,UCdk3M9ogEFCq8mNz3U3SYrg,Ky ky jhuth bolker nafrat faila rhe ho,irrelevant,
90,90,UgyQGkZyH6qjoZk3BiN4AaABAg,k0CfyHTmb4Q,@butahuruf1655,UCBSkx_KOlJjdUu1SUo4g0AA,I'm from Indonesia I Stand With Israel,Pro-Israel,
91,91,Ugya0v4El-M7HLp3k0Z4AaABAg,k0CfyHTmb4Q,@user-lv6dz8qe3g,UCumaf2O6xg9qQwLo1_Wv5wg,"I.DF ki,,lled 20,000 civilian 10,000 kids under 15 , but still some indian guys sup.port it I really wander your humanity.  I love India and Indian so much because they are very kind people. Indian and Palestine have same history of British colonization and the father Mahatma Gandhi was in support of freedom of Palestine.... You cant change the history as will. Stop laying",Pro-Palestine,
92,92,UgykrWUboQj_KfkRpEZ4AaABAg,k0CfyHTmb4Q,@AntiZelk,UCXrigS06F2wycCTFarD8wYQ,Supporting Israel from Canada ,Pro-Israel,
93,93,UgxdTP46MWEo9mRePfd4AaABAg,k0CfyHTmb4Q,@Koipaisadedore,UCv-meHvvKIXByu2DTXItefA,"full support to israel from india 
Jai hind",Pro-Israel,
94,94,UgyutgHVvO0ZGKUIDp94AaABAg,k0CfyHTmb4Q,@abdulsameer7674,UCZKfucy_sDH_BeLVXCoebXA,Palestain always ,Pro-Palestine,
95,95,Ugx9PpuD71dc9yoKWvZ4AaABAg,k0CfyHTmb4Q,@zthehero,UCXSpPHcF2bJoND9nwRfCoEA,If we support israel.. that just means now we're supporting terrorists that we always hated,Pro-Palestine,
96,96,Ugy58ZO3WWhF8dcIAet4AaABAg,k0CfyHTmb4Q,@Nezuko12537,UC9C7iQCiyUPy3EWSeEM8rVg,free free palestine ,Pro-Palestine,
97,97,Ugz6Uza_pURSz2WFIuJ4AaABAg,k0CfyHTmb4Q,@WTJ_YT,UCOmqxEamo8nD8iNG4OIn5BA," I stand with Palestine 
Because modi gangu ",Pro-Palestine,
98,98,UgxqC9aD0WKcwCNhCjN4AaABAg,k0CfyHTmb4Q,@EagerBoaSnake-mr5ls,UCJ-JwWH9wSU5VkfzkJK_mhg,DICTATOR PM OF ISRAEL MADE A BILL SO THAT HE CANNOT BE PROSECUTED FOR GENOCIDE. LOOK IT UP AND THATS A FACT AND NOT A DEMOCRACY BUT DICTATORSHIP! GOD WOULD NOT MURDER THE INNOCENT SATAN WOULD.,Neutral,
99,99,Ugzy5CwVPOwQdBZYwPV4AaABAg.9yzGNyWhWH-9yzgFk8M8Hw,k0CfyHTmb4Q,@sam_g2,,Then what is the comment section,irrelevant,
100,100,UgzlAVMMfgIqLB7Q1zZ4AaABAg,vU1vfrWRWRQ,@vijaypratapsingh3852,UCYQ-jpoS2FJoV_sSNX-FQvQ,Accha,irrelevant,
101,101,UgwhJ4Nip5nDKHtrIf14AaABAg,vU1vfrWRWRQ,@PANKAJKUMAR-uu6vm,UCgO4j4rqWeNzioHL3_AeQzQ,pahle isreal k hostages ko chhodwayo,Pro-Palestine,
102,102,Ugzwi3UTvt_xP4sD3EN4AaABAg,vU1vfrWRWRQ,@saifullasaif50,UCqgPwYposYifwwqyNAdhvaw,Beask,irrelevant,
103,103,Ugy3oDaQ9Obuodr9VU54AaABAg,vU1vfrWRWRQ,@avijitmati6510,UCuzXMtavGys45DBqnZNJp6g,pahele israeal ki logo ko chore fir sisfiear hoga,Pro-Israel,
104,104,UgygjQK4wT8rT70Vno54AaABAg,vU1vfrWRWRQ,@Priyaprakash880,UCPLDWcEKtzOVUcKDxXUbSyw,Etne sare muslim country h wo kya kar rhi h,irrelevant,
105,105,UgwRbxDYKfTNdfAFKSV4AaABAg,vU1vfrWRWRQ,@geetapandya7198,UCcHRWkfTZS-VrRPYpbJ9GRw,Ask Muslims country to help,Neutral,
106,106,Ugwz62LcJXLrozUXBAZ4AaABAg,vU1vfrWRWRQ,@mdraisansari4262,UCarKuI_v8g-fxNI2XMgyGNQ,Comment section mein haramiyon ki Bheed Lagi Hai,irrelevant,
107,107,UgxKHw3exDojUU_353t4AaABAg,vU1vfrWRWRQ,@kamalpunjabi6794,UCL-VkMVt8ZENoRT1Tijx6QQ,TERE JASSE KUTTE BHUT BHOKTE HI,irrelevant,
108,108,UgzP1bG7QNQcSzc0OYp4AaABAg,vU1vfrWRWRQ,@orp1987,UC0QU92u4kB3oAeLgBY7WZnw,How can he support terrorism and roam freely?,Pro-Palestine,
109,109,UgzVhV1Aa9EaXl-gEwZ4AaABAg,vU1vfrWRWRQ,@user-it6lw8jj9v,UCeIFDdVQH0yGhsgdJzzWiwg,Hospital     masjid     necha   attanke  ghar hai,irrelevant,
110,110,UgzT3Dh882_UG9Vfdrd4AaABAg,vU1vfrWRWRQ,@umendrashah8975,UC4TOAv9V8DSa-l8gh8-cTuQ,"Israel government is doing appreciable job in middle East
Long live Israel and it's innocent people
",Pro-Israel,
